date,type,category,method,amount,description,month,year,month_name
2025-01-01,Ingreso,Salario,Transferencia,5000000.0,Pago mensual,1,2025,Enero
2025-01-01,Gasto,Arriendo,Efectivo,550000.0,Gasto de Arriendo,1,2025,Enero
2025-01-01,Gasto,Servicios,Efectivo,200000.0,Gasto de Servicios,1,2025,Enero
2025-01-01,Gasto,Inversiones,Efectivo,500000.0,Gasto de Inversiones,1,2025,Enero
2025-01-01,Gasto,Transporte,Efectivo,200000.0,Gasto de Transporte,1,2025,Enero
2025-01-01,Gasto,Gastos hormiga,Efectivo,1000000.0,Gasto de Gastos hormiga,1,2025,Enero
2025-02-01,Ingreso,Salario,Transferencia,5000000.0,Pago mensual,2,2025,Febrero
2025-02-01,Gasto,Arriendo,Efectivo,550000.0,Gasto de Arriendo,2,2025,Febrero
2025-02-01,Gasto,Servicios,Efectivo,200000.0,Gasto de Servicios,2,2025,Febrero
2025-02-01,Gasto,Inversiones,Efectivo,500000.0,Gasto de Inversiones,2,2025,Febrero
2025-02-01,Gasto,Transporte,Efectivo,200000.0,Gasto de Transporte,2,2025,Febrero
2025-02-01,Gasto,Gastos hormiga,Efectivo,1000000.0,Gasto de Gastos hormiga,2,2025,Febrero
2025-03-01,Ingreso,Salario,Transferencia,5000000.0,Pago mensual,3,2025,Marzo
2025-03-01,Gasto,Arriendo,Efectivo,550000.0,Gasto de Arriendo,3,2025,Marzo
2025-03-01,Gasto,Servicios,Efectivo,200000.0,Gasto de Servicios,3,2025,Marzo
2025-03-01,Gasto,Inversiones,Efectivo,500000.0,Gasto de Inversiones,3,2025,Marzo
2025-03-01,Gasto,Transporte,Efectivo,200000.0,Gasto de Transporte,3,2025,Marzo
2025-03-01,Gasto,Gastos hormiga,Efectivo,1000000.0,Gasto de Gastos hormiga,3,2025,Marzo
2025-04-01,Ingreso,Salario,Transferencia,5000000.0,Pago mensual,4,2025,Abril
2025-04-01,Gasto,Arriendo,Efectivo,550000.0,Gasto de Arriendo,4,2025,Abril
2025-04-01,Gasto,Servicios,Efectivo,200000.0,Gasto de Servicios,4,2025,Abril
2025-04-01,Gasto,Inversiones,Efectivo,500000.0,Gasto de Inversiones,4,2025,Abril
2025-04-01,Gasto,Transporte,Efectivo,200000.0,Gasto de Transporte,4,2025,Abril
2025-04-01,Gasto,Gastos hormiga,Efectivo,1000000.0,Gasto de Gastos hormiga,4,2025,Abril
2025-05-01,Ingreso,Salario,Transferencia,5000000.0,Pago mensual,5,2025,Mayo
2025-05-01,Gasto,Arriendo,Efectivo,550000.0,Gasto de Arriendo,5,2025,Mayo
2025-05-01,Gasto,Servicios,Efectivo,200000.0,Gasto de Servicios,5,2025,Mayo
2025-05-01,Gasto,Inversiones,Efectivo,500000.0,Gasto de Inversiones,5,2025,Mayo
2025-05-01,Gasto,Transporte,Efectivo,200000.0,Gasto de Transporte,5,2025,Mayo
2025-05-01,Gasto,Gastos hormiga,Efectivo,1000000.0,Gasto de Gastos hormiga,5,2025,Mayo
2025-06-01,Ingreso,Salario,Transferencia,5000000.0,Pago mensual,6,2025,Junio
2025-06-01,Gasto,Arriendo,Efectivo,550000.0,Gasto de Arriendo,6,2025,Junio
2025-06-01,Gasto,Servicios,Efectivo,200000.0,Gasto de Servicios,6,2025,Junio
2025-06-01,Gasto,Inversiones,Efectivo,500000.0,Gasto de Inversiones,6,2025,Junio
2025-06-01,Gasto,Transporte,Efectivo,200000.0,Gasto de Transporte,6,2025,Junio
2025-06-01,Gasto,Gastos hormiga,Efectivo,1000000.0,Gasto de Gastos hormiga,6,2025,Junio
2025-07-01,Ingreso,Salario,Transferencia,5000000.0,Pago mensual,7,2025,Julio
2025-07-01,Gasto,Arriendo,Efectivo,550000.0,Gasto de Arriendo,7,2025,Julio
2025-07-01,Gasto,Servicios,Efectivo,200000.0,Gasto de Servicios,7,2025,Julio
2025-07-01,Gasto,Inversiones,Efectivo,500000.0,Gasto de Inversiones,7,2025,Julio
2025-07-01,Gasto,Transporte,Efectivo,200000.0,Gasto de Transporte,7,2025,Julio
